Type_of_Training,Training_Center,District,Barangay,latitude,needs_recoding,longitude
Automotive,No. 83 Quirino Highway Brgy. Balon Bato ,District 6,Balonbato,14.664911,FALSE,121.003583
Automotive,16 Tandang Sora Avenue,District 6,Tandang Sora,14.679639,FALSE,121.020947
Electrical,16 Tandang Sora Avenue,District 6,Tandang Sora,14.732767,FALSE,121.052894
Programming, Maximina Street Villa Arca Subd. Project 8,District 6,Sangandaan,14.678702,FALSE,121.08278
Programming,St. Joseph Street Milton Hills Subd. Bgy. New Era,District 6,New Era,14.658298,FALSE,121.019382
Animation,Lourdes Arcade No. 986 Tandang Sora Ave.,District 6,Tandang Sora,14.73188,FALSE,121.048517
Culinary,Lourdes Arcade No. 986 Tandang Sora Ave.,District 6,Tandang Sora,14.735572,FALSE,121.064778
Bookkeeping, Maximina Street Villa Arca Subd. Project 8,District 6,Sangandaan,14.671248,FALSE,121.036998
Call Center Training, Maximina Street Villa Arca Subd. Project 8,District 6,Sangandaan,14.706076,FALSE,121.070594
Call Center Training,2 Uranus Street Congressional Avenue Project 8,District 6,Sangandaan,14.633758,FALSE,121.040061
Bartending,Lourdes Arcade No. 986 Tandang Sora Ave.,District 6,Tandang Sora,14.734253,FALSE,121.054514
Housekeeping,Lourdes Arcade No. 986 Tandang Sora Ave.,District 6,Tandang Sora,14.620645,FALSE,121.047838
Housekeeping,16 Tandang Sora Avenue,District 6,Tandang Sora,14.631798,FALSE,121.048737
Housekeeping,Tanco-Cu Bldg. EDSA cor. Congressional Avenue,District 6,Sangandaan,14.731247,FALSE,121.048126
Caregiving,Tanco-Cu Bldg. EDSA cor. Congressional Avenue,District 6,Sangandaan,14.664433,FALSE,121.021228
Massage Therapy,"SK Hall Building Bahay Toro, Project 8",District 6,Sangandaan,14.698952,FALSE,121.034274
Dress Making,"SK Hall Building Bahay Toro, Project 8",District 6,Sangandaan,14.663519,FALSE,121.059153
