"Barangay","Country","Address","Population","location__latitude","location__needs_recoding","location__longitude"
"BAGONG LIPUNAN NG CRAME ","PHILIPPINES","#57 1st Ave., Cubao ","14996","14.660414","False","121.04011"
"BOTOCAN ","PHILIPPINES","Makadios St. ","8234","14.637102","False","121.06195"
"CENTRAL ","PHILIPPINES","QC Hall Compound ","17590","14.646412","False","121.05005"
"DAMAYANG LAGI ","PHILIPPINES","La Felonila cor. E. Rodriguez Sr. Ave. ","18599","14.619177","False","121.020096"
"DON MANUEL ","PHILIPPINES","Matimyas cor. Data St. ","3753","14.616477","False","121.005433"
"DOÑA AURORA ","PHILIPPINES","N. Ponce St., cor. Luskot St. ","5636","14.615616","False","121.00873"
"DOÑA IMELDA ","PHILIPPINES","#145 Bayani St. cor. Guirayan St. ","","14.615142","False","121.017644"
"DOÑA JOSEFA ","PHILIPPINES","Agno cor. Kitanlad St. ","16915","14.618932","False","121.004932"
"HORSESHOE ","PHILIPPINES","Sunset Drive Horseshoe Village ","3004","14.610968","False","121.043594"
"IMMACULATE CONCEPCION ","PHILIPPINES","1734 Rm. 304, Sujeco Bldg., E. Rodriguez Sr. Ave ","8670","14.623297","False","121.044317"
"KALUSUGAN ","PHILIPPINES","19th St., cor. Sta. Ignacia St., New Manila ","1745","14.625613","False","121.022613"
"KAMUNING ","PHILIPPINES","#113 Kamuning Road ","15661","14.630182","False","121.04373"
"KAUNLARAN ","PHILIPPINES","#156 N. Domingo St., Cubao ","21513","14.616034","False","121.041887"
"KRISTONG HARI ","PHILIPPINES","Doña Juana Rodriguez St. ","4089","14.61751","False","121.029443"
"KRUS NA LIGAS ","PHILIPPINES","Plaza Sta. Inez ","21513","14.644274","False","121.063846"
"LAGING HANDA ","PHILIPPINES","73 Sct. Gandia St., cor. Sct. Tuazon St. ","6750","14.632157","False","121.032822"
"MALAYA ","PHILIPPINES","Dead end of Matahimik St. ","4109","14.634249","False","121.055166"
"MARIANA ","PHILIPPINES","#122 4th St. cor New Jersey St., New Manila ","11227","14.617148","False","121.036865"
"OBRERO ","PHILIPPINES","Parkway Cor. T. Morato Ave. ","8269","14.626404","False","121.033477"
"OLD CAPITOL SITE ","PHILIPPINES","Matiwasay cor. Masaya Ext. ","1192","14.64961","False","121.054853"
"PALIGSAHAN ","PHILIPPINES","A. Roces Ave. beside Glori Supermarket ","5611","14.630107","False","121.027739"
"PINAGKAISAHAN ","PHILIPPINES","Ermin Garcia St. beside Ramon Magsaysay High School, Cubao ","6929","14.627374","False","121.047405"
"PINYAHAN ","PHILIPPINES","Malakas St. back of LTO ","27653","14.63907","False","121.048441"
"ROXAS ","PHILIPPINES","Jasmin St., cor. Madre Silva St. ","16060","14.628252","False","121.021909"
"SACRED HEART ","PHILIPPINES","17-C Scout Ybardolaza St. ","8282","14.630017","False","121.037631"
"SAN ISIDRO GALAS ","PHILIPPINES","Unang Hakbang St., Galas ","8578","14.611256","False","121.009748"
"SAN MARTIN DE PORRES ","PHILIPPINES","Conrado Benitez St. ","12315","14.64701","False","121.033818"
"SAN VICENTE ","PHILIPPINES","Maayusin Ext. ","7274","14.652618","False","121.057061"
"SANTOL ","PHILIPPINES","#60 Silencio cor. Baloy St. ","7548","14.613447","False","121.017231"
"SIKATUNA VILLAGE ","PHILIPPINES","Alley 80 V. Luna Ext. (beside Glori Supermarket) ","6996","14.635862","False","121.059201"
"SOUTH TRIANGLE ","PHILIPPINES","Scout Bayoran ","15546","14.638128","False","121.035487"
"STO. NIÑO ","PHILIPPINES","San Isidro cor. Santol St. ","10278","14.611387","False","121.013054"
"TATALON ","PHILIPPINES","Cabalata St. ","63129","14.623182","False","121.013248"
"TEACHERS' VILLAGE EAST ","PHILIPPINES","Maginhawa cor. Masinsinan St. ","3401","14.645364","False","121.060882"
"TEACHERS' VILLAGE WEST ","PHILIPPINES","#49 Mahinhin St. ","4270","14.645452","False","121.05563"
"UP CAMPUS ","PHILIPPINES","Amorsolo Civic Complex, CP Garcia Ave. ","45520","14.647973","False","121.066145"
"UP VILLAGE ","PHILIPPINES","Maayusin cor. Mapayapa St. ","5157","14.647284","False","121.058775"
"VALENCIA ","PHILIPPINES","#164ÂÂ  Santolan Road ","8547","14.608787","False","121.046335"
